episode,score,steps,result,critic_loss,actor_loss
275,30.834808772582555,21,goal,0.4456672476870673,-16.228255878795277
276,30.66079402249877,19,goal,0.4468575049387781,-16.161868307325577
277,30.65136682512604,23,goal,0.704299196600914,-16.132355054219563
278,30.72248922130625,19,goal,0.2040812059452659,-16.13258955213759
279,30.70156724205615,20,goal,0.4570941150188446,-16.482906150817872
280,30.55640810215852,22,goal,0.3873254338448698,-15.936111276799982
281,30.633534638609305,25,goal,0.36919166028499606,-16.30496017749493
282,30.548715297659434,27,goal,0.635964748484117,-16.297103881835938
283,30.70755786057888,23,goal,0.5071597507466441,-16.235358874003094
284,30.61201389033898,25,goal,0.5204087316989898,-16.443058649698894
285,30.47767638727571,25,goal,0.6772537511587143,-16.558166357187126
286,30.527697589449655,21,goal,0.3309222239823568,-16.582599449157716
287,30.64409896540218,19,goal,0.5592288594496878,-16.55275993347168
288,30.41616872011781,30,goal,0.6399528404076894,-16.861092631022135
289,30.53940794740395,20,goal,0.4968653328716755,-16.40271806716919
290,29.59614418256438,113,goal,0.5224939982975478,-16.84306592600686
291,29.164627976983457,155,goal,0.5188213802153064,-17.21858318035419
292,8.650071640713447,200,timeout,0.5232817496731877,-17.61755609512329
293,-4.995427032363042,35,collision,0.5328301697969436,-17.94977434943704
294,29.623739806090853,111,goal,0.6975707305712743,-17.740525722503662
295,30.484170124275607,24,goal,0.5140628988544146,-17.78954839706421
296,30.745632978710496,25,goal,0.3627533653378487,-18.06102244059245
297,30.615695824610967,26,goal,0.42166320005288493,-18.134983502901516
298,30.709014817391996,19,goal,1.0366649910023338,-18.233241462707518
299,30.56223388434688,27,goal,0.9968438005005872,-18.19704510615422
300,30.556876093413216,25,goal,0.5079609030485153,-18.41584352346567
