world_episode,avg_score,goal_count,collision_count,colreg_compliance_rate,n_agents,critic_loss,actor_loss,alpha
186,29.66804765867306,3,0,0.0,3,0.08076349669887174,-21.64066308544528,0.0317924723269478
187,29.54263479114668,3,0,0.0,3,0.3882784593850374,-21.672057342529296,0.031492505595088004
188,29.76388421213221,3,0,0.3333333333333333,3,0.08327400707639754,-21.760653972625732,0.03121847234433517
189,29.480950520563113,3,0,0.3333333333333333,3,0.2218780285368363,-21.761538378397624,0.03091723161439101
190,29.54857347008503,3,0,0.16666666666666666,3,0.19539895048364997,-21.811467111110687,0.030639871023595333
191,29.582474424252933,3,0,0.16666666666666666,3,0.5496473657267709,-21.77004894133537,0.030381894400042873
192,29.73964649410316,3,0,0.6666666666666666,3,0.38213934749364853,-21.852210998535156,0.030114550376310945
193,29.521338531423236,3,0,0.16666666666666666,3,0.09498738708595435,-21.890229161580404,0.029847394737104575
194,29.52951352221596,3,0,0.16666666666666666,3,0.0709651003126055,-21.91135859489441,0.02956318127689883
195,29.698257911837263,3,0,0.25,3,0.21750030538532883,-21.91080868244171,0.029269775084685534
196,29.563447424616765,3,0,0.0,3,0.22444488713517785,-21.958421230316162,0.028971216175705194
197,29.605773583295917,3,0,0.25,3,0.33103587140794843,-21.95401757955551,0.028666936792433262
198,29.693979889677518,3,0,0.0,3,0.20398147368142683,-22.018557087067634,0.028389983179588473
199,29.683275152627356,3,0,0.0,3,0.056960504129529,-22.024572563171386,0.0281290374075373
200,29.821301710693337,3,0,0.3333333333333333,3,0.34241635841317475,-22.06699800491333,0.027877759013790637
201,29.64313567274505,3,0,0.16666666666666666,3,0.06119797234573672,-22.0271117917953,0.02763111204389603
202,29.59498998770569,3,0,0.16666666666666666,3,0.060846182997479584,-22.07662952307499,0.027375791955626373
203,29.57953279411628,3,0,0.25,3,0.1833629586523579,-22.096465387651996,0.027115860292988438
204,29.606961632640566,3,0,0.0,3,0.2228495228675104,-22.109542723624937,0.026895247459892305
205,29.66294113689275,3,0,0.3333333333333333,3,0.2013523585628718,-22.147827804088593,0.0266684252419509
206,29.588652197282673,3,0,0.3333333333333333,3,0.05875630828086287,-22.155210316181183,0.026416477630846202
207,29.604845784546814,3,0,0.375,3,0.05358678521588445,-22.20561772584915,0.026156621344853193
208,29.625162692085286,3,0,0.16666666666666666,3,0.2125233293607317,-22.181056450153218,0.02592648867646168
209,29.497589839390997,3,0,0.16666666666666666,3,0.5498387299012393,-22.167898893356323,0.025705193111207336
210,29.670150761015407,3,0,0.3333333333333333,3,0.07678053495200242,-22.21769848991843,0.02545790626283954
211,29.728635736917084,3,0,0.125,3,0.053490175458136946,-22.22006618976593,0.025205131561961025
212,29.75849414822869,3,0,0.0,3,0.15358066258411254,-22.29220107293898,0.024986544203373692
213,29.589854344133798,3,0,0.0,3,0.15214430987834932,-22.266335360209148,0.02478948440402746
214,29.540399155305625,3,0,0.125,3,0.05366253975080326,-22.262237071990967,0.02459886687574908
215,29.667934758972546,3,0,0.3333333333333333,3,0.048861432039449294,-22.26198454826109,0.02440139308812157
216,29.63753880537493,3,0,0.25,3,0.148787138382754,-22.27767495186098,0.024199731347541654
217,29.607102861005757,3,0,0.375,3,0.04828872429507394,-22.352584100538685,0.024002534066957813
218,29.568395210557398,3,0,0.25,3,0.13744744221912697,-22.297386586666107,0.023791670450009406
219,29.49482480114123,3,0,0.0,3,0.04467352978404491,-22.28974090083953,0.023581757240237727
220,29.526482440623965,3,0,0.0,3,0.14123631899635639,-22.34093463036322,0.023394264641308015
221,29.516769192508644,3,0,0.3333333333333333,3,0.040403105558887605,-22.37765872093939,0.023218891433169766
222,29.505414710664905,3,0,0.5,3,0.13917204767705932,-22.37785154773343,0.023043563529368368
223,29.534915484179766,3,0,0.0,3,0.04783176889102305,-22.375843171150454,0.022877828909024116
224,29.554994691016315,3,0,0.0,3,0.03905569575726986,-22.337007002397016,0.02269606805886283
225,29.550031805160472,3,0,0.3333333333333333,3,0.03424729587453784,-22.391136400627367,0.022498624794410938
226,29.59039504080916,3,0,0.16666666666666666,3,0.13195070127646127,-22.34810580629291,0.022289542932853554
227,29.574748964898323,3,0,0.16666666666666666,3,0.03623530798358843,-22.381783187389374,0.022113125945907086
228,29.71084454011563,3,0,0.0,3,0.038055358454585075,-22.354695737361908,0.021935297700110823
229,29.66233660060996,3,0,0.25,3,0.03442987643422619,-22.415894416070753,0.021756709463173343
230,29.515246449927734,3,0,0.375,3,0.033493282573838386,-22.383095587453536,0.02156908792113104
231,29.54179392062112,3,0,0.375,3,0.030978571284901012,-22.41912940054229,0.021376058177062958
232,29.630494067038374,3,0,0.0,3,0.029333623747030895,-22.423741947520863,0.021195669686703972
